College,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_Code,Private_Code,Apps_trans_scaled,Top10perc_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_scaled,Private_Code_scaled
Alfred University,Yes,1732,1425,472,37,75,1830,110,16548,5406,500,600,82.0,88,11.3,31,10932,73,0.06899057905329407,0.18960415563033936,0.05629915440159747,0.7211624200833137,-0.013985480352037364,-0.671389770125531,1.4078545093706523,-0.22842386689854197,-1.4057817650474291,0.5541402640904666,0.5107083351693819,-0.678340495986942,3.4657359027997265,0.6383170802489733,0.8227482678983834,High,2,1,0.06899057905329385,0.7211624200833138,-0.6713897701255311,1.4078545093706518,-0.22842386689854194,-1.4057817650474274,0.5541402640904666,0.5107083351693817,-0.6783404959869418,0.7483410559744619,0.6383170802489767,0.5170222123469872,0.6130958528832952
Allegheny College,Yes,2652,1900,484,44,77,1707,44,17080,4440,400,600,73.0,91,9.9,41,11711,76,0.46032466859152044,0.47526339421852687,0.08299999545726995,1.0285425548159215,-0.08616607824190928,-1.1662791245185324,1.5034802182039588,-1.0374664620381557,-1.4057817650474291,-0.09419074137999063,0.7804683371675396,-1.0731000870048981,3.7376696182833684,0.7919573140578902,0.7164404223227753,High 2,3,1,0.46032466859152027,1.0285425548159215,-1.1662791245185327,1.5034802182039584,-1.0374664620381557,-1.4057817650474274,-0.09419074137999064,0.7804683371675395,-1.073100087004898,1.192262774802249,0.7919573140578936,-0.2061058097604855,0.6130958528832952
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,64,1130,638,9690,4785,600,1000,60.0,84,13.3,21,7940,74,-0.29500231835796586,-0.42782056483872183,-0.4826561598195867,0.7675847409999096,-0.537351957784123,0.41312125842975483,-0.06150885839875067,0.450010288926062,-0.38404127330500104,-0.8996136288748151,0.17352500962299197,-0.14603378484101692,3.091042453358316,-0.1555911216452529,0.6615776081424937,Medium,1,1,-0.29500231835796614,0.7675847409999097,0.4131212584297547,-0.061508858398751136,0.45001028892606204,-0.38404127330499904,-0.8996136288748151,0.17352500962299186,-0.14603378484101667,0.13666787740698347,-0.15559112164524952,-0.5792940546226276,0.6130958528832952
Alma College,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79.0,87,15.3,32,9305,68,-0.22608859696616584,-0.09116884936789561,-0.164230581051607,1.0285425548159215,-0.3743917144214137,-1.3943807068374012,0.6197019024942315,-1.0374664620381557,-2.1897242687337264,0.32979255441716077,0.4240248994484804,0.35585698539765914,3.4965075614664802,0.2554331495929184,0.8524072612470402,High,2,1,-0.22608859696616612,1.0285425548159215,-1.3943807068374015,0.6197019024942311,-1.0374664620381557,-2.1897242687337246,0.32979255441716077,0.42402489944848026,0.3558569853976594,0.798574649047804,0.2554331495929218,0.7187688386828509,0.6130958528832952
Alverno College,Yes,494,313,157,23,46,1317,1235,8352,3640,650,2449,36.0,69,11.1,26,8127,55,-1.1573336120660473,-1.414531796640125,-1.2216234297867012,-0.055200718403029835,-0.3651059414347578,0.8718285488000315,-0.4238191988839534,0.7529019484450437,1.5034339966218024,-1.9780911423661112,-0.8740644345850307,-0.7335168472284893,3.295836866004329,-0.0930447242004866,0.6336032388663968,Medium,1,1,-1.1573336120660478,-0.05520071840302973,0.8718285488000314,-0.42381919888395386,0.7529019484450437,1.5034339966218047,-1.9780911423661112,-0.8740644345850308,-0.7335168472284891,0.4709871710129802,-0.09304472420048321,-0.7695815184950914,0.6130958528832952
American International College,Yes,1420,1093,220,9,22,1018,287,8700,4780,450,1400,78.0,84,14.7,19,7355,69,-0.11769351567508371,-0.07893677312532452,-0.8067268312789887,-1.3351916215524642,-0.6580922327170985,-0.10313165045134533,-0.3261191352140588,-0.6133100630418952,0.31037713613816026,0.2568399159168297,0.17352500962299197,0.2081264905007414,2.995732273553991,-0.36687188617963684,0.7697183098591549,Medium,1,1,-0.11769351567508396,-1.3351916215524642,-0.10313165045134545,-0.3261191352140592,-0.6133100630418952,0.31037713613816237,0.2568399159168297,0.17352500962299186,0.20812649050074164,-0.018922461088820543,-0.36687188617963346,0.15630143523297682,0.6130958528832952
Amherst College,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,75.0,98,8.4,63,21424,100,0.890037314381693,-0.17835432244130456,-0.07438197144344937,2.27883534731329,-0.15896167057461622,-2.176109594191858,1.9576134096936015,0.8110297824067062,0.5881520396402784,0.04347428240046014,1.4679867891663476,-1.5210933767410013,4.1588830833596715,1.920485538853575,0.23059042305904232,High 2,3,1,0.8900373143816929,2.27883534731329,-2.176109594191858,1.957613409693601,0.8110297824067062,0.5881520396402805,0.04347428240046013,1.4679867891663476,-1.521093376741001,1.8798781559164335,1.9204855388535784,-3.510958307769455,0.6130958528832952
Anderson University,Yes,1216,908,423,19,40,1819,281,10100,3520,550,1100,48.0,61,12.1,14,7994,59,-0.2653758448182091,-0.2696694922618811,-0.061484500211150775,-0.3414378853851846,-0.020196783805222843,-0.11623964897801099,0.04287653889757052,0.12425506576926057,-0.1890906028016409,-1.5052458874480539,-1.3027523462610369,-0.46133648899060975,2.70805020110221,-0.13729814913918253,0.7467105263157895,Medium,1,1,-0.26537584481820936,-0.3414378853851845,-0.11623964897801112,0.04287653889757005,0.1242550657692606,-0.18909060280163886,-1.5052458874480539,-1.3027523462610369,-0.4613364889906095,-0.4885527893899716,-0.13729814913917915,-0.00020228202990137085,0.6130958528832952
Andrews University,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62.0,66,11.5,18,10908,46,-0.3358117618978988,-0.5354763739712171,-0.36341619151128945,-0.7707527080612918,-0.16363714942486735,-0.023497667072978456,0.016665618519435942,2.016852655434644,0.1876897630087672,-0.7857984336464438,-1.0448647336429244,-0.6235432314264993,2.9444389791664403,0.6333165403795503,0.6230088495575221,Medium,1,1,-0.3358117618978991,-0.7707527080612917,-0.023497667072978585,0.016665618519435474,2.016852655434644,0.18768976300876927,-0.7857984336464438,-1.0448647336429244,-0.623543231426499,-0.10265686440973162,0.6333165403795538,-0.8416467526730749,0.6130958528832952
Angelo State University,No,3540,2001,1016,24,54,4190,1512,5130,3592,500,2000,60.0,62,23.1,5,4010,34,0.7187081159983048,0.5260824300191098,0.8269530826783935,0.010498375683124296,0.7662979642512601,1.018465788563027,-1.490399728535567,-0.22842386689854197,1.0656206545879023,-0.8996136288748151,-1.253793161208231,2.10683547646955,1.791759469228055,-2.3906347830818544,0.5652542372881356,Low,0,0,0.7187081159983046,0.010498375683124396,1.0184657885630268,-1.4903997285355675,-0.22842386689854194,1.0656206545879046,-0.8996136288748151,-1.253793161208231,2.1068354764695503,-1.9843634722106338,-2.390634783081851,-1.234505608120786,-1.6310663255951814
Antioch University,Yes,713,661,252,25,44,712,23,15476,3336,400,1100,69.0,82,11.3,35,42926,48,-0.7868213103364338,-0.6020465684301659,-0.6457003044349969,0.07419384862799155,-1.0931117632576415,-1.4905160868454934,1.2088502454556984,-1.0374664620381557,-0.1890906028016409,-0.35852501531488695,0.01436886348154269,-0.678340495986942,3.58351893845611,2.835280654668368,0.9270687237026648,High,2,1,-0.7868213103364341,0.07419384862799165,-1.4905160868454936,1.208850245455698,-1.0374664620381557,-0.18909060280163886,-0.35852501531488695,0.014368863481542581,-0.6783404959869418,0.9406174993141313,2.8352806546683715,1.2266315968909323,0.6130958528832952
Appalachian State University,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83.0,96,18.3,14,5854,70,1.344038979692563,1.3307493919326905,1.3967729276486842,-0.2659654673280361,1.4430114465519315,0.7461845013266436,-0.8935914126065444,-5.698651451942537,1.0656206545879023,0.6307521880162978,1.2631079470739583,1.0630980149914302,2.70805020110221,-1.0516028647266802,0.6377683577191303,Low,0,0,1.344038979692563,-0.265965467328036,0.7461845013266435,-0.8935914126065448,-5.698651451942537,1.0656206545879046,0.6307521880162978,1.2631079470739583,1.0630980149914304,-0.4885527893899716,-1.0516028647266769,-0.7412495158897182,-1.6310663255951814
Aquinas College,Yes,619,516,219,20,51,1251,767,11208,4124,350,1615,55.0,65,12.7,25,6584,65,-0.9283860059973014,-0.8664968217596126,-0.8121873417404444,-0.2659654673280361,-0.42229392766715884,0.5380169041583767,0.31172099573869333,-1.5106521568656046,0.610491032112236,-1.1680662055014885,-1.0990862943084903,-0.3022340305882601,3.258096538021482,-0.6885077614303057,0.8336025848142165,Medium,1,1,-0.9283860059973017,-0.265965467328036,0.5380169041583766,0.3117209957386929,-1.5106521568656046,0.6104910321122381,-1.1680662055014885,-1.0990862943084903,-0.3022340305882598,0.4093774833820336,-0.6885077614303022,0.5908555280366711,0.6130958528832952
Arizona State University Main campus,No,12809,10308,3761,24,49,22593,7585,7434,4850,700,2100,88.0,93,18.9,5,4602,48,1.8047436372714876,2.0426744573800373,1.9499665041338634,0.010498375683124296,1.9782047781512868,2.2980732899184684,-0.6950814148243284,1.036120392064417,1.1704906841578149,1.0275244055596622,0.9685124280279964,1.1989535360782697,1.791759469228055,-1.8712514740636974,0.8047466625029276,Medium,1,0,1.8047436372714876,0.010498375683124396,2.2980732899184684,-0.6950814148243288,1.036120392064417,1.170490684157817,1.0275244055596622,0.9685124280279963,1.19895353607827,-1.9843634722106338,-1.871251474063694,0.3945715575162776,-1.6310663255951814
Arkansas College (Lyon College),Yes,708,334,166,46,74,530,182,8644,3922,500,800,79.0,88,12.6,24,14579,54,-0.7938331879173275,-1.3422502196382253,-1.151583032134714,1.1096298635196908,-1.478763269335996,-0.37974258814036077,-0.34166554621344736,-0.22842386689854197,-0.835123048894733,0.32979255441716077,0.5107083351693819,-0.328544393486175,3.2188758248682006,1.2444639652488378,0.4717514124293785,Medium,1,1,-0.7938331879173278,1.1096298635196908,-0.3797425881403609,-0.3416655462134478,-0.22842386689854194,-0.8351230488947311,0.32979255441716077,0.5107083351693817,-0.3285443934861747,0.34535112178986943,1.2444639652488412,-1.8705312225566062,0.6130958528832952
Arkansas Tech University,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57.0,60,19.6,5,4739,48,0.07006732803198891,0.38225067790630013,0.7640109473431553,-0.9749983196713342,0.6341756033642671,0.6778887181014667,-2.2309170342453672,-0.6133100630418952,-0.38404127330500104,-1.063443871848157,-1.3504282584260159,1.3553462158537377,1.791759469228055,-1.7655200139458214,0.9971164936562861,Low,0,0,0.07006732803198869,-0.9749983196713341,0.6778887181014666,-2.2309170342453677,-0.6133100630418952,-0.38404127330499904,-1.063443871848157,-1.3504282584260159,1.355346215853738,-1.9843634722106338,-1.765520013945818,1.7031110614623,-1.6310663255951814
Assumption College,Yes,2135,1700,491,23,59,1708,689,12000,5920,500,500,93.0,93,13.8,30,7100,88,0.2626764863340956,0.36550329730225656,0.09822519423684477,-0.055200718403029835,-0.08555394406521388,0.46500320004206824,0.49336022072818697,-0.22842386689854197,-1.7612021643396472,1.447136187421161,0.9685124280279964,-0.01795311549064537,3.4339872044851463,-0.46727192976892323,0.7962529274004684,Medium,1,1,0.26267648633409546,-0.05520071840302973,0.46500320004206813,0.4933602207281865,-0.22842386689854194,-1.7612021643396454,1.447136187421161,0.9685124280279963,-0.017953115490645113,0.6965124818629844,-0.46727192976891985,0.3367954090891345,0.6130958528832952
Auburn University-Main Campus,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85.0,91,16.7,18,6642,69,1.3705466527209225,1.6729830669961077,1.790225099018143,0.07419384862799155,1.7753050777023098,1.1116781786087233,-1.0624799300196837,0.450010288926062,0.9647600671709042,0.7867190501158293,0.7804683371675396,0.6920504143711256,2.9444389791664403,-0.6623243090150365,0.8997085320614733,Low,0,0,1.3705466527209225,0.07419384862799165,1.111678178608723,-1.062479930019684,0.45001028892606204,0.9647600671709063,0.7867190501158293,0.7804683371675395,0.6920504143711258,-0.10265686440973162,-0.662324309015033,1.0405218967192282,-1.6310663255951814
Augsburg College,Yes,662,513,257,12,30,2074,726,11902,4372,540,950,65.0,65,12.8,31,7836,58,-0.8609521922059836,-0.8727789388809025,-0.622680818392808,-0.9749983196713342,0.11313387715837982,0.500518801219789,0.4713198796660493,0.05602185721487039,-0.48839044954759636,-0.6081876833560498,-1.0990862943084903,-0.27600423628062626,3.4657359027997265,-0.1913681820261212,0.7749244712990937,Medium,1,1,-0.860952192205984,-0.9749983196713341,0.5005188012197889,0.4713198796660489,0.05602185721487042,-0.48839044954759436,-0.6081876833560498,-1.0990862943084903,-0.276004236280626,0.7483410559744619,-0.1913681820261178,0.19171482550959185,0.6130958528832952
Augustana College IL,Yes,1879,1658,497,36,69,1950,38,13353,4173,540,821,78.0,83,12.7,40,9220,71,0.1447711943378163,0.34069845734627535,0.11107739571446495,0.6737982758594397,0.0509540603992901,-1.241384072286713,0.7862526734532344,0.05602185721487039,-0.7831250643029304,0.2568399159168297,0.0931702615374012,-0.3022340305882601,3.713572066704308,0.23260646275412494,0.8823842469398616,High,2,1,0.14477119433781607,0.6737982758594399,-1.2413840722867133,0.7862526734532339,0.05602185721487042,-0.7831250643029285,0.2568399159168297,0.09317026153740109,-0.3022340305882598,1.1529244143584472,0.23260646275412833,0.9226785149200266,0.6130958528832952
Augustana College,Yes,761,725,306,21,58,1337,300,10990,3244,600,1021,66.0,70,10.4,30,6871,69,-0.7220774057408268,-0.5045300056765754,-0.42123728447281134,-0.1932470423613438,-0.3484623150113997,-0.07555778171289308,0.260252165580397,0.450010288926062,-0.34164913688558746,-0.5471481964393482,-0.8143772774197001,-0.9297607595238646,3.4339872044851463,-0.5622925117575066,0.9526938239159002,Medium,1,1,-0.7220774057408271,-0.19324704236134368,-0.07555778171289321,0.26025216558039654,0.45001028892606204,-0.34164913688558546,-0.5471481964393482,-0.8143772774197002,-0.9297607595238644,0.6965124818629844,-0.5622925117575032,1.400938845176983,0.6130958528832952
Austin College,Yes,948,798,295,42,74,1120,15,11280,4342,400,1150,81.0,95,13.0,33,11361,71,-0.506010616755727,-0.40396713763201336,-0.46305107890896174,0.9446685054628217,-0.5475276704678739,-1.6930830740303442,0.3285753623492402,-1.0374664620381557,-0.0976960875429358,0.4784429028004287,1.1632240797157132,-0.22378287640524416,3.5263605246161616,0.7249381026897083,0.8417721518987342,Medium,1,1,-0.5060106167557273,0.9446685054628218,-1.6930830740303444,0.32857536234923973,-1.0374664620381557,-0.09769608754293375,0.4784429028004287,1.1632240797157132,-0.2237828764052439,0.8473085057155563,0.7249381026897117,0.6464266183481573,0.6130958528832952
Averett College,Yes,627,556,172,16,40,777,538,9925,4135,750,1350,59.0,67,22.4,11,6523,48,-0.9154666126394648,-0.7862848115486885,-1.1072801866453614,-0.5871679226871698,-0.983660037517417,0.29950463991155823,-0.0013313826868790503,1.3022200552656582,0.23448449294285456,-0.9551429519484147,-0.9892956425607811,1.9602960316112636,2.4849066497880004,-0.7164319386989533,0.886762360446571,Medium,1,1,-0.9154666126394652,-0.5871679226871697,0.2995046399115581,-0.0013313826868795173,1.3022200552656582,0.23448449294285664,-0.9551429519484147,-0.9892956425607812,1.9602960316112639,-0.8528263722686615,-0.7164319386989498,0.9524593513533741,0.6130958528832952
Baker University,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58.0,68,11.0,21,6136,65,-0.956445308201077,-0.9378518016568441,-0.8859067629336266,-0.1932470423613438,-0.7296378892600673,0.2052284642907345,-0.3483485387732943,-1.0374664620381557,1.3194325213375049,-1.009753112770369,-0.9323663945762501,-0.7612501409097624,3.091042453358316,-0.9034588265119079,0.8023255813953488,Medium,1,1,-0.9564453082010773,-0.19324704236134368,0.20522846429073435,-0.34834853877329475,-1.0374664620381557,1.319432521337507,-1.009753112770369,-0.9323663945762503,-0.7612501409097622,0.13666787740698347,-0.9034588265119045,0.3781028615023034,0.6130958528832952
Baldwin-Wallace College,Yes,1690,1366,662,30,61,2718,1460,10995,4410,1000,1000,68.0,74,17.6,20,8086,85,0.046065252465077554,0.14712805824667724,0.4075640913356484,0.3669741501362814,0.37621617511603594,0.992895974410058,0.26144011931298633,2.437506398173015,-0.38404127330500104,-0.4223166537333232,-0.5615293446508958,0.9023869004718892,3.044522437723423,-0.10656706274204769,0.808284023668639,Medium,1,1,0.046065252465077325,0.3669741501362815,0.9928959744100578,0.2614401193129859,2.437506398173015,-0.38404127330499904,-0.4223166537333232,-0.5615293446508959,0.9023869004718894,0.06072567486027672,-0.1065670627420443,0.4186334220888358,0.6130958528832952
Barat College,Yes,261,192,111,15,36,453,266,9690,4300,500,500,57.0,77,9.7,35,9337,71,-1.8258989767466491,-1.9692074473337564,-1.671004834814265,-0.676685000581864,-1.6941845225401522,-0.15014749513298145,-0.06150885839875067,-0.22842386689854197,-1.7612021643396472,-1.063443871848157,-0.3567469657519844,-1.1312222234617375,3.58351893845611,0.26394362342814137,0.735632183908046,Medium,1,1,-1.8258989767466496,-0.6766850005818639,-0.1501474951329816,-0.061508858398751136,-0.22842386689854194,-1.7612021643396454,-1.063443871848157,-0.3567469657519845,-1.1312222234617373,0.9406174993141313,0.26394362342814476,-0.07555946559584333,0.6130958528832952
Bard College,Yes,1910,838,285,50,85,1004,15,19264,6206,750,750,98.0,98,10.4,30,13894,79,0.15993850323377998,-0.35295933459534146,-0.5026551217713106,1.2642526226817787,-0.6743184004879884,-1.6930830740303442,1.8767591146439029,1.3022200552656582,-0.9642037997398595,1.8895682969877856,1.4679867891663476,-0.9297607595238646,3.4339872044851463,1.1495996915608824,0.4387434554973822,High 2,3,1,0.15993850323377976,1.2642526226817787,-1.6930830740303444,1.8767591146439024,1.3022200552656582,-0.9642037997398576,1.8895682969877856,1.4679867891663476,-0.9297607595238644,0.6965124818629844,1.1495996915608857,-2.095058194021446,0.6130958528832952
Barnard College,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83.0,93,10.3,33,12580,91,0.4053854078066458,0.17327353451253144,0.18067773038996052,1.3742899658208605,0.13552882168827307,-0.928875264119128,1.6515983227317301,0.450010288926062,-0.7133073594983343,0.6307521880162978,0.9685124280279964,-0.958210073115202,3.5263605246161616,0.9457655214379576,0.561698717948718,High 2,3,1,0.4053854078066456,1.3742899658208605,-0.9288752641191281,1.6515983227317297,0.45001028892606204,-0.7133073594983325,0.6307521880162978,0.9685124280279963,-0.9582100731152018,0.8473085057155563,0.945765521437961,-1.258690988358309,0.6130958528832952
Barry University,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76.0,78,12.6,11,9084,72,-0.4637929367470966,-0.42246925161973703,-0.5271950280563313,-0.4199221856006509,-0.024742902315955148,1.5741138664865515,0.3309106548795111,0.450010288926062,0.840445648422016,0.11368059871460601,-0.28553671812966114,-0.328544393486175,2.4849066497880004,0.19540093546298665,0.7919191919191919,Medium,1,1,-0.4637929367470969,-0.4199221856006508,1.5741138664865513,0.33091065487951066,0.45001028892606204,0.8404456484220181,0.113680598714606,-0.28553671812966125,-0.3285443934861747,-0.8528263722686615,0.19540093546299003,0.30731644119223006,0.6130958528832952
Baylor University,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71.0,76,18.5,38,7503,72,1.1873490034898204,1.456617421104464,1.5781800183827612,0.5760565206522865,1.4415054909657228,0.22996762533653825,-1.0115131835916997,0.450010288926062,0.22830116100081005,-0.22819102460965637,-0.4264744945937568,1.1085733319200137,3.6635616461296463,-0.311026712701721,0.8804938271604938,Low,0,1,1.1873490034898204,0.5760565206522866,0.2299676253365381,-1.0115131835917002,0.45001028892606204,0.22830116100081213,-0.22819102460965637,-0.4264744945937569,1.108573331920014,1.071284255022854,-0.3110267127017176,0.90981948736091,0.6130958528832952
